💌, Love Letter,情书
🎥, Movie Camera,电影摄像机
🎞, Film Frames,电影框架
📽, Film Projector,电影放映机
📺, Television,电视
📷, Camera,摄像机
📸, Camera with Flash,带闪光灯的相机
📹, Video Camera,摄像机
📼, Videocassette,录像带
🔍, Magnifying Glass Tilted Left,左侧倾斜的放大镜
🔎, Magnifying Glass Tilted Right,放大镜向右倾斜
🕯, Candle,蜡烛
💡, Light Bulb,灯泡
🔦, Flashlight,手电筒
🏮, Red Paper Lantern,红纸灯笼
🪔, Diya Lamp,迪亚灯
📔, Notebook with Decorative Cover,带装饰封面的笔记本
📕, Closed Book,闭卷
📖, Open Book,开放式图书
📗, Green Book,绿皮书
📘, Blue Book,蓝皮书
📙, Orange Book,橙皮书
📚, Books,书籍
📓, Notebook,笔记本
📃, Page with Curl,带卷曲的页面
📜, Scroll,滚动
📄, Page Facing Up,页面朝上
📰, Newspaper,报纸
🗞, Rolled-Up Newspaper,卷筒报
📑, Bookmark Tabs,书签标签
🔖, Bookmark,加入书签
🏷, Label,标签
💰, Money Bag,钱袋
💴, Yen Banknote,日元纸币
💵, Dollar Banknote,美元纸币
💶, Euro Banknote,欧元纸币
💷, Pound Banknote,英镑纸币
💸, Money with Wings,有翅膀的钱
💳, Credit Card,信用卡
🧾, Receipt,收据
✉ ,Envelope,封套
📧, E-Mail,电子邮件
📨, Incoming Envelope,来料信封
📩, Envelope with Arrow,带箭头的信封
📤, Outbox Tray,发件箱托盘
📥, Inbox Tray,收件箱托盘
📦, Package,包装
📫, Closed Mailbox with Raised Flag,封闭式信箱与升旗
📪, Closed Mailbox with Lowered Flag,关闭的邮箱，旗帜降低
📬, Open Mailbox with Raised Flag,打开的邮箱有升旗
📭, Open Mailbox with Lowered Flag,打开邮箱，旗帜降低
📮, Postbox,邮筒
🗳, Ballot Box with Ballot,带选票的投票箱
✏ ,Pencil,铅笔
✒ ,Black Nib,黑尼伯
🖋, Fountain Pen,钢笔
🖊, Pen,笔
🖌, Paintbrush,漆刷
🖍, Crayon,蜡笔
📝, Memo,备忘录
📁, File Folder,文件夹
📂, Open File Folder,打开文件夹
🗂, Card Index Dividers,卡片索引分割器
📅, Calendar,日历
📆, Tear-Off Calendar,撕开式日历
🗒, Spiral Notepad,螺旋式记事本
🗓, Spiral Calendar,螺旋日历
📇, Card Index,卡片索引
📈, Chart Increasing,圖表增加
📉, Chart Decreasing,图表递减
📊, Bar Chart,条形图
📋, Clipboard,剪贴板
📌, Pushpin,推针
📍, Round Pushpin,圆形推针
📎, Paperclip,迴紋針
🖇, Linked Paperclips,链接的回形针
📏, Straight Ruler,直尺
📐, Triangular Ruler,三角尺
✂ ,Scissors,剪刀
🗃, Card File Box,卡片档案盒
🗄, File Cabinet,文件柜
🗑, Wastebasket,垃圾桶
🔒, Locked,锁定
🔓, Unlocked,解锁
🔏, Locked with Pen,用笔锁定
🔐, Locked with Key,用钥匙锁住
🔑, Key,钥匙
🗝, Old Key,旧钥匙
🔨, Hammer,锤子
🪓, Axe,斧头
⛏, Pick,挑选
⚒ ,Hammer and Pick,锤子和镐头
🛠, Hammer and Wrench,锤子和扳手
🗡, Dagger,匕首
⚔ ,Crossed Swords,交叉的剑
🔫, Pistol,手枪
🛡, Shield,盾牌
🔧, Wrench,扳手
🔩, Nut and Bolt,螺母和螺栓
⚙ ,Gear,齒輪
🗜, Clamp,夾子
⚖ ,Balance Scale,平衡表
🦯, White Cane,白蔗
🔗, Link,鏈接
⛓, Chains,链条
🧰, Toolbox,工具箱
🧲, Magnet,磁铁
⚗ ,Alembic,蒸馏器 净化器具
🧪, Test Tube,测试管
🧫, Petri Dish,培养皿
🧬, DNA,脱氧核糖核酸
🔬, Microscope,显微镜
🔭, Telescope,望远镜
📡, Satellite Antenna,卫星天线
💉, Syringe,注射器
🩸, Drop of Blood,一滴血
💊, Pill,丸剂
🩹, Adhesive Bandage,粘性绷带
🩺, Stethoscope,听诊器
🚪, Door,门
🛏, Bed,床位
🛋, Couch and Lamp,沙发和灯
🪑, Chair,主席
🚽, Toilet,厕所
🚿, Shower,淋浴房
🛁, Bathtub,浴缸
🪒, Razor,剃须刀
🧴, Lotion Bottle,乳液瓶
🧷, Safety Pin,安全引脚
🧹, Broom,扫帚
🧺, Basket,篮子
🧻, Roll of Paper,纸卷
🧼, Soap,肥皂
🧽, Sponge,海綿
🧯, Fire Extinguisher,灭火器
🛒, Shopping Cart,购物篮
🚬, Cigarette,香烟
⚰ ,Coffin,棺材
⚱ ,Funeral Urn,殡仪馆
🗿, Moai,摩艾
🚰, Potable Water,饮用水
