😓, Downcast Face with Sweat,汗水的下颌角脸
😩, Weary Face,疲惫的脸
😫, Tired Face,疲惫的脸
🥱, Yawning Face,打哈欠的脸
😤, Face with Steam From Nose,鼻子里有蒸汽的脸
😡, Pouting Face,撅起的脸
😠, Angry Face,愤怒的脸
🤬, Face with Symbols on Mouth,嘴上有符号的脸
😈, Smiling Face with Horns,笑脸与角
👿, Angry Face with Horns,愤怒的脸与角
💀, Skull,骷髅头
💩, Pile of Poo,一堆便便
🤡, Clown Face,小丑脸
👹, Ogre,妖怪
👺, Goblin,妖精
👻, Ghost,幽灵
👽, Alien,外星人
👾, Alien Monster,外星怪物
🤖, Robot,机器人
😺, Grinning Cat,笑面虎
😸, Grinning Cat with Smiling Eyes,微笑的猫与微笑的眼睛
😹, Cat with Tears of Joy,猫与老鼠的对话
😻, Smiling Cat with Heart-Eyes,笑面猫与心眼
😼, Cat with Wry Smile,猫咪的微笑
😽, Kissing Cat,吻猫
🙀, Weary Cat,疲惫的猫
😿, Crying Cat,哭泣的猫
😾, Pouting Cat,撅着嘴的猫
💋, Kiss Mark,吻痕
👋, Waving Hand,挥手
🤚, Raised Back of Hand,抬起的手背
🖐, Hand with Fingers Splayed,伸手不见五指
✋, Raised Hand,举手
🖖, Vulcan Salute,火神礼炮
👌, OK Hand,好手
🤏, Pinching Hand,捏手
🤞, Crossed Fingers,交叉手指
🤟, Love-You Gesture,爱你的手势
🤘, Sign of the Horns,犄角之象
🤙, Call Me Hand,叫我手
👈, Backhand Index Pointing Left,反手指数指向左
👉, Backhand Index Pointing Right,反手指数指向右
👆, Backhand Index Pointing Up,反手指数指向上
🖕, Middle Finger,中指
👇, Backhand Index Pointing Down,反手指数朝下
👍, Thumbs Up,竖起大拇指
👎, Thumbs Down,竖起大拇指
✊, Raised Fist,举起的拳头
👊, Oncoming Fist,拳头来袭
🤛, Left-Facing Fist,左面拳
🤜, Right-Facing Fist,右面拳
👏, Clapping Hands,拍手
🙌, Raising Hands,举手
👐, Open Hands,开放的手
🤲, Palms Up Together,掌心向上
🤝, Handshake,握手
🙏, Folded Hands,摺手
💅, Nail Polish,指甲油
🤳, Selfie,自拍
💪, Flexed Biceps,弯曲的肱二头肌
🦾, Mechanical Arm,机械臂
🦿, Mechanical Leg,机械腿
🦵, Leg,腿部
🦶, Foot,脚步
👂, Ear,耳朵
🦻, Ear with Hearing Aid,带助听器的耳朵
👃, Nose,鼻子
🧠, Brain,脑
🦷, Tooth,齿
🦴, Bone,骨头
👀, Eyes,眼睛
👁, Eye,眼睛
👅, Tongue,舌头
👄, Mouth,嘴
👶, Baby,婴幼儿
🧒, Child,儿童
👦, Boy,男孩
👧, Girl,女孩
🧑, Person,人物
👱, Person: Blond Hair,人。金发
👨, Man,人
🧔, Man: Beard,男人：胡须
👨‍🦰, Man: Red Hair,男人： 红头发
👨‍🦱, Man: Curly Hair,男：卷发
👨‍🦳, Man: White Hair,男子：白发
👨‍🦲, Man: Bald,男人：秃头
👩, Woman,妇女
👩‍🦰, Woman: Red Hair,女人： 红发
🧑‍🦰, Person: Red Hair,人。红毛
👩‍🦱, Woman: Curly Hair,女人： 卷发
🧑‍🦱, Person: Curly Hair,人。卷发
👩‍🦳, Woman: White Hair,女人： 白发
🧑‍🦳, Person: White Hair,人。白发
👩‍🦲, Woman: Bald,女人： 秃头
🧑‍🦲, Person: Bald,人。秃头
👱‍♀️, Woman: Blond Hair,女人： 金发
👱‍♂️, Man: Blond Hair,男子：金发
🧓, Older Person,老年人
👴, Old Man,老头子
👵, Old Woman,老妇人
🙍, Person Frowning,皱眉的人
🙍‍♂️, Man Frowning,皱眉的男人
🙍‍♀️, Woman Frowning,女人皱眉
🙎, Person Pouting,噘嘴的人
🙎‍♂️, Man Pouting,男子撅着嘴
🙎‍♀️, Woman Pouting,女人撅着嘴
🙅, Person Gesturing No,人的手势没有
🙅‍♂️, Man Gesturing No,男子打手势不
🙅‍♀️, Woman Gesturing No,女人的手势没有
🙆, Person Gesturing OK,人的手势确定
🙆‍♂️, Man Gesturing OK,男子打手势OK
🙆‍♀️, Woman Gesturing OK,女人打手势OK
💁, Person Tipping Hand,倾诉人
💁‍♂️, Man Tipping Hand,男子翻手为云覆手为雨
💁‍♀️, Woman Tipping Hand,女人倾倒的手
🙋, Person Raising Hand,举手的人
🙋‍♂️, Man Raising Hand,男子举手
🙋‍♀️, Woman Raising Hand,女人举手
🧏, Deaf Person,聋人
🧏‍♂️, Deaf Man,聋哑人
🧏‍♀️, Deaf Woman,聋哑妇女
🙇, Person Bowing,鞠躬的人
🙇‍♂️, Man Bowing,男子鞠躬
🙇‍♀️, Woman Bowing,女子鞠躬
🤦, Person Facepalming,脸谱化的人
🤦‍♂️, Man Facepalming,男人的脸谱化
🤦‍♀️, Woman Facepalming,女人的脸谱化
🤷, Person Shrugging,耸肩的人
🤷‍♂️, Man Shrugging,男子耸肩
🤷‍♀️, Woman Shrugging,女人耸肩
🧑‍⚕️, Health Worker,卫生工作者
👨‍⚕️, Man Health Worker,男子保健员
👩‍⚕️, Woman Health Worker,妇女保健工作者
🧑‍🎓, Student,学生
👨‍🎓, Man Student,男子学生
👩‍🎓, Woman Student,女学生
🧑‍🏫, Teacher,教师
👨‍🏫, Man Teacher,文老师
👩‍🏫, Woman Teacher,女教师
🧑‍⚖️, Judge,法官
👨‍⚖️, Man Judge,男子法官
👩‍⚖️, Woman Judge,女法官
🧑‍🌾, Farmer,农民
👨‍🌾, Man Farmer,男子农民
👩‍🌾, Woman Farmer,女农民
🧑‍🍳, Cook,厨师
👨‍🍳, Man Cook,厨师
👩‍🍳, Woman Cook,女厨师
🧑‍🔧, Mechanic,机械师
👨‍🔧, Man Mechanic,男子机械师
👩‍🔧, Woman Mechanic,女技工
🧑‍🏭, Factory Worker,工厂工人
👨‍🏭, Man Factory Worker,男子工厂工人
👩‍🏭, Woman Factory Worker,工厂女工
🧑‍💼, Office Worker,办公室工作人员
👨‍💼, Man Office Worker,男子办公室工作人员
👩‍💼, Woman Office Worker,办公室女工
🧑‍🔬, Scientist,科学家
👨‍🔬, Man Scientist,人类科学家
👩‍🔬, Woman Scientist,女科学家
🧑‍💻, Technologist,技术专家
👨‍💻, Man Technologist,男子技术员
👩‍💻, Woman Technologist,女技术专家
🧑‍🎤, Singer,歌手
👨‍🎤, Man Singer,男子歌手
👩‍🎤, Woman Singer,女歌手
🧑‍🎨, Artist,藝術家
👨‍🎨, Man Artist,男人艺术家
👩‍🎨, Woman Artist,女艺术家
🧑‍✈️, Pilot,飞行员
👨‍✈️, Man Pilot,男子飞行员
👩‍✈️, Woman Pilot,女飞行员
🧑‍🚀, Astronaut,宇航员
👨‍🚀, Man Astronaut,男子宇航员
👩‍🚀, Woman Astronaut,女宇航员
🧑‍🚒, Firefighter,消防员
👨‍🚒, Man Firefighter,男子消防员
👩‍🚒, Woman Firefighter,女消防员
👮, Police Officer,警察
👮‍♂️, Man Police Officer,男子警察
👮‍♀️, Woman Police Officer,女警官
🕵, Detective,侦探
🕵️‍♂️, Man Detective,男子侦探
🕵️‍♀️, Woman Detective,女侦探
💂, Guard,守卫
💂‍♂️, Man Guard,人卫
💂‍♀️, Woman Guard,女警卫
👷, Construction Worker,建筑工人
👷‍♂️, Man Construction Worker,男子建筑工人
👷‍♀️, Woman Construction Worker,女建筑工人
🤴, Prince,太子
👸, Princess,公主
👳, Person Wearing Turban,戴头巾的人
👳‍♂️, Man Wearing Turban,男子戴头巾
👳‍♀️, Woman Wearing Turban,戴头巾的女人
👲, Person With Skullcap,带着骷髅帽的人
🧕, Woman with Headscarf,女人与头巾
🤵, Person in Tuxedo,穿燕尾服的人
👰, Person With Veil,戴面纱的人
🤰, Pregnant Woman,孕妇
🤱, Breast-Feeding,母乳喂养
👼, Baby Angel,天使宝宝
🎅, Santa Claus,圣诞老人
🤶, Mrs. Claus,Claus夫人
🦸, Superhero,超级英雄
🦸‍♂️, Man Superhero,人超级英雄
🦸‍♀️, Woman Superhero,女人超级英雄
🦹, Supervillain,大反派
🦹‍♂️, Man Supervillain,人妖
🦹‍♀️, Woman Supervillain,女反派
🧙, Mage,法师
🧙‍♂️, Man Mage,男子管理
🧙‍♀️, Woman Mage,女法师
🧚, Fairy,仙女
🧚‍♂️, Man Fairy,人仙
🧚‍♀️, Woman Fairy,女仙
🧛, Vampire,吸血鬼
🧛‍♂️, Man Vampire,男子吸血鬼
🧛‍♀️, Woman Vampire,吸血鬼女人
🧜, Merperson,Merperson
🧜‍♂️, Merman,梅尔曼
🧜‍♀️, Mermaid,美人鱼
🧝, Elf,精灵
🧝‍♂️, Man Elf,人精
🧝‍♀️, Woman Elf,女精灵
🧞, Genie,精灵
🧞‍♂️, Man Genie,人精
🧞‍♀️, Woman Genie,女人精灵
🧟, Zombie,殭屍
🧟‍♂️, Man Zombie,人肉僵尸
🧟‍♀️, Woman Zombie,女僵尸
💆, Person Getting Massage,接受按摩的人
💆‍♂️, Man Getting Massage,男子接受按摩
💆‍♀️, Woman Getting Massage,女人接受按摩
💇, Person Getting Haircut,理发的人
💇‍♂️, Man Getting Haircut,男子理发
💇‍♀️, Woman Getting Haircut,女人理发
🚶, Person Walking,漫步的人
🚶‍♂️, Man Walking,漫步的人
🚶‍♀️, Woman Walking,女人走
🧍, Person Standing,站立者
🧍‍♂️, Man Standing,男子站立
🧍‍♀️, Woman Standing,女人站立
🧎, Person Kneeling,跪着的人
🧎‍♂️, Man Kneeling,跪着的男人
🧎‍♀️, Woman Kneeling,女人跪着
🧑‍🦯, Person with White Cane,白藤人
👨‍🦯, Man with White Cane,白手杖的男人
👩‍🦯, Woman with White Cane,女人与白手杖
🧑‍🦼, Person in Motorized Wheelchair,机动轮椅上的人
👨‍🦼, Man in Motorized Wheelchair,男子坐电动轮椅
👩‍🦼, Woman in Motorized Wheelchair,坐在电动轮椅上的妇女
🧑‍🦽, Person in Manual Wheelchair,坐手动轮椅的人
👨‍🦽, Man in Manual Wheelchair,男子坐手动轮椅
👩‍🦽, Woman in Manual Wheelchair,坐手动轮椅的妇女
🏃, Person Running,运行人员
🏃‍♂️, Man Running,奔跑的男人
🏃‍♀️, Woman Running,女人跑
💃, Woman Dancing,女人跳舞
🕺, Man Dancing,人舞
🕴, Person in Suit Levitating,西装革履的人
👯, People with Bunny Ears,兔子耳朵的人
👯‍♂️, Men with Bunny Ears,兔子耳朵的男人
👯‍♀️, Women with Bunny Ears,兔子耳朵的妇女
🧖, Person in Steamy Room,在蒸汽房的人
🧖‍♂️, Man in Steamy Room,男子在蒸汽房
🧖‍♀️, Woman in Steamy Room,女人在蒸汽房
🧘, Person in Lotus Position,莲花职位的人
🧑‍🤝‍🧑, People Holding Hands,人们手拉手
👭, Women Holding Hands,妇女手拉手
👫, Woman and Man Holding Hands,女人和男人牵手
👬, Men Holding Hands,男人手拉手
💏, Kiss,吻
👨‍❤️‍💋‍👨, Kiss: Man, Man,吻：男人，男人
👩‍❤️‍💋‍👩, Kiss: Woman, Woman,吻：女人，女人
💑, Couple with Heart,有心夫妇
👨‍❤️‍👨, Couple with Heart: Man Man,情侣与心。男人，男人
👩‍❤️‍👩, Couple with Heart: Woman, Woman,有心的情侣。女人，女人
👪, Family,家庭
👨‍👩‍👦, Family: Man Woman Boy,家庭： 男人、女人、男孩
👨‍👩‍👧, Family: Man Woman Girl,家庭： 男人、女人、女孩
👨‍👩‍👧‍👦, Family: Man Woman Girl, Boy,家庭： 男人、女人、女孩、男
👨‍👩‍👦‍👦, Family: Man Woman Boy, Boy,家庭： 男人，女人，男孩，男
👨‍👩‍👧‍👧, Family: Man Woman Girl, Girl,家庭： 男人，女人，女孩，女
👨‍👨‍👦, Family: Man Man Boy,家庭。男人  男人，男孩
👨‍👨‍👧, Family: Man Man Girl,家庭。男人 男人，女孩
👨‍👨‍👧‍👦, Family: Man Man Girl Boy,家庭： 男人，男人，女孩，男
👨‍👨‍👦‍👦, Family: Man Man Boy Boy,家庭。男人，男人，男孩，男
👨‍👨‍👧‍👧, Family: Man Man Girl Girl,家庭。男人 男人，女孩，女
👩‍👩‍👦, Family: Woman Woman Boy,家庭： 女人 女人、男孩
👩‍👩‍👧, Family: Woman Woman Girl,家庭。女人 女人，女孩
👩‍👩‍👧‍👦, Family: Woman Woman Girl, Boy,家庭。女人，女人 女孩，B
👩‍👩‍👦‍👦, Family: Woman Woman Boy, Boy,家庭： 女人，女人 男孩，男
👩‍👩‍👧‍👧, Family: Woman Woman Girl, Girl,家庭。女人，女人 女孩，G
👨‍👦, Family: Man Boy,家庭： 男人，男孩
👨‍👦‍👦, Family: Man Boy, Boy,家庭。男人，男孩，男孩
👨‍👧, Family: Man Girl,家庭。男人，女孩
👨‍👧‍👦, Family: Man Girl, Boy,家庭： 男人、女孩、男孩
👨‍👧‍👧, Family: Man Girl, Girl,家庭。男人，女孩，女孩
👩‍👦, Family: Woman Boy,家庭： 妇女、男孩
👩‍👦‍👦, Family: Woman Boy, Boy,家庭： 妇女、男孩、男孩
👩‍👧, Family: Woman Girl,家庭： 妇女、女孩
👩‍👧‍👦, Family: Woman Girl, Boy,家庭： 妇女、女孩、男孩
👩‍👧‍👧, Family: Woman Girl, Girl,家庭。女人，女孩，女孩
🗣, Speaking Head,讲头
👤, Bust in Silhouette,轮廓中的半身像
👥, Busts in Silhouette,剪影中的半身像(Busts in
👣, Footprints,脚印
🧳, Luggage,行李
🌂, Closed Umbrella,封闭式雨伞
🎃, Jack-O-Lantern,杰克灯笼
🧵, Thread,主题
🧶, Yarn,纱线
👓, Glasses,眼镜
🕶, Sunglasses,太阳镜
🥽, Goggles,护目镜
🥼, Lab Coat,实验服
🦺, Safety Vest,安全背心
👔, Necktie,领带
👕, T-Shirt,T恤衫
👖, Jeans,牛仔裤
🧣, Scarf,围巾
🧤, Gloves,手套
🧥, Coat,大衣
🧦, Socks,袜子
👗, Dress,衣服
👘, Kimono,和服
🥻, Sari,萨里
🩱, One-Piece Swimsuit,连体泳衣
🩲, Briefs,简报
🩳, Shorts,短裤
👙, Bikini,比基尼
👚, Woman’s Clothes,女人的衣服
👛, Purse,钱包
👜, Handbag,手袋
👝, Clutch Bag,手拿包
🎒, Backpack,背包
👞, Man’s Shoe,男鞋
👟, Running Shoe,跑鞋
🥾, Hiking Boot,徒步靴
🥿, Flat Shoe,平底鞋
👠, High-Heeled Shoe,高跟鞋
👡, Woman’s Sandal,女式凉鞋
🩰, Ballet Shoes,芭蕾舞鞋
👢, Woman’s Boot,女式靴子
👑, Crown,皇冠
👒, Woman’s Hat,女人的帽子
🎩, Top Hat,帽子
🎓, Graduation Cap,毕业帽
🧢, Billed Cap,计费上限
⛑, Rescue Worker’s Helmet,救援人员的头盔
💄, Lipstick,唇膏
💍, Ring,戒指
💼, Briefcase,公文包
🩸, Drop of Blood,一滴血
