💘, Heart with Arrow,心与箭
🔕, Bell with Slash,带斜线的铃铛
🎵, Musical Note,音乐笔记
🎶, Musical Notes,音乐笔记
💹, Chart Increasing with Yen,图表随日元上涨
🏧, ATM Sign,ATM标志
🚮, Litter in Bin Sign,垃圾桶标志
🚰, Potable Water,饮用水
♿, Wheelchair Symbol,轮椅标志
🚹, Men’s Room,男厕所
🚺, Women’s Room,女性房间
🚻, Restroom,洗手间
🚼, Baby Symbol,婴儿符号
🚾, Water Closet,储水柜
⚠ ,Warning,警告
🚸, Children Crossing,儿童穿越
⛔, No Entry,没有进入
🚫, Prohibited,违禁品
🚳, No Bicycles,禁止骑自行车
🚭, No Smoking,禁止吸烟
🚯, No Littering,不乱扔垃圾
🚱, Non-Potable Water,非饮用水
🚷, No Pedestrians,没有行人
📵, No Mobile Phones,没有移动电话
🔞, No One Under Eighteen,未满18岁者不得入内
☢ ,Radioactive,放射性
☣ ,Biohazard,生物危害
⬆ ,Up Arrow,上箭
↗ ,Up-Right Arrow,向上向右箭头
➡ ,Right Arrow,右箭头
↘ ,Down-Right Arrow,右下角箭头
⬇ ,Down Arrow,下箭头
↙ ,Down-Left Arrow,左下角箭头
⬅ ,Left Arrow,左箭头
↖ ,Up-Left Arrow,左上箭头
↕ ,Up-Down Arrow,上下箭头
↔ ,Left-Right Arrow,左右箭头
↩ ,Right Arrow Curving Left,右箭头 向左弯曲
↪ ,Left Arrow Curving Right,左箭头 右箭头
⤴ ,Right Arrow Curving Up,右箭头向上弯曲
⤵ ,Right Arrow Curving Down,右箭头向下弯曲
🔃, Clockwise Vertical Arrows,顺时针垂直箭头
🔄, Counterclockwise Arrows Button,逆时针箭头按钮
🔙, Back Arrow,后箭
🔚, End Arrow,末端箭头
🔛, On! Arrow,箭！箭头
🔜, Soon Arrow,顺箭
🔝, Top Arrow,顶部箭头
🛐, Place of Worship,礼拜场所
⚛ ,Atom Symbol,原子符号
🕉, Om,唵
✡ ,Star of David,大卫之星
☸ ,Wheel of Dharma,法轮
☯ ,Yin Yang,阴阳
✝ ,Latin Cross,拉丁十字
☦ ,Orthodox Cross,东正教十字架
☪ ,Star and Crescent,星和月牙
☮ ,Peace Symbol,和平的象征
🕎, Menorah,烛台
🔯, Dotted Six-Pointed Star,点状六角星
♈, Aries,白羊座
♉, Taurus,金牛座
♊, Gemini,双子座
♋, Cancer,癌症
♌, Leo,利奥
♍, Virgo,处女座
♎, Libra,天秤座
♏, Scorpio,天蝎座
♐, Sagittarius,射手座
♑, Capricorn,摩羯座
♒, Aquarius,水瓶座
♓, Pisces,双鱼座
⛎, Ophiuchus,蛇夫座
🔀, Shuffle Tracks Button,洗音轨按钮
🔁, Repeat Button,重复按钮
🔂, Repeat Single Button,重复单按钮
▶ ,Play Button,播放按钮
⏩, Fast-Forward Button,快进按钮
◀ ,Reverse Button,反向按钮
⏪, Fast Reverse Button,快速倒车按钮
🔼, Upwards Button,向上按钮
⏫, Fast Up Button,快速提升按钮
🔽, Downwards Button,向下按钮
⏬, Fast Down Button,快速下降按钮
⏹, Stop Button,停止按钮
⏏ ,Eject Button,弹出按钮
🎦, Cinema,电影院
🔅, Dim Button,点亮按钮
🔆, Bright Button,明亮按钮
📶, Antenna Bars,天线杆
📳, Vibration Mode,振动模式
📴, Mobile Phone Off,移动电话关机
✖ ,Multiply,乘法
➕, Plus,加
➖, Minus,减去
➗, Divide,除法
♾ ,Infinity,无限
‼ ,Double Exclamation Mark,双重感叹号
⁉ ,Exclamation Question Mark,感叹号
❓, Question Mark,问号
❔, White Question Mark,白色问号
❕, White Exclamation Mark,白色感叹号
❗, Exclamation Mark,惊叹号
〰 ,Wavy Dash,波浪形短跑
💱, Currency Exchange,货币兑换
💲, Heavy Dollar Sign,沉重的美元标志
⚕ ,Medical Symbol,医学符号
♻ ,Recycling Symbol,回收标志
⚜ ,Fleur-de-lis,鸢尾花
🔱, Trident Emblem,三叉戟徽记
📛, Name Badge,名片
🔰, Japanese Symbol for Beginner,初级日语符号
⭕, Hollow Red Circle,空心红圈
✅, Check Mark Button,检查标记按钮
☑ ,Check Box with Check,带复选框的复选框
✔ ,Check Mark,检查标志
❌, Cross Mark,十字标
❎, Cross Mark Button,十字标记按钮
➰, Curly Loop,卷发圈
➿, Double Curly Loop,双卷圈
〽 ,Part Alternation Mark,零件交替标记
✳ ,Eight-Spoked Asterisk,八角星号
✴ ,Eight-Pointed Star,八角星
❇ ,Sparkle,璀璨
© ,Copyright,著作權
® ,Registered,注册
™ ,Trade Mark,商标
#️⃣, Keycap Number Sign,键帽号码标志
0️⃣, Keycap Digit Zero,键帽数字零
1️⃣, Keycap Digit One,键帽数字一
2️⃣, Keycap Digit Two,键帽数字二
3️⃣, Keycap Digit Three,键帽数字三
4️⃣, Keycap Digit Four,键帽数字四
5️⃣, Keycap Digit Five,键帽数字五
6️⃣, Keycap Digit Six,键帽数字六
7️⃣, Keycap Digit Seven,键帽数字七
8️⃣, Keycap Digit Eight,键帽数字八
9️⃣, Keycap Digit Nine,键帽数字九
🔟, Keycap: 10,钥匙帽。10
🔠, Input Latin Uppercase,输入拉丁文大写
🔡, Input Latin Lowercase,输入拉丁文小写
🔢, Input Numbers,输入数字
🔣, Input Symbols,输入符号
🔤, Input Latin Letters,输入拉丁字母
🅰 ,A Button (Blood Type),钮扣 (血型)
🆎, AB Button (Blood Type),AB型钮扣 (血型)
🅱 ,B Button (Blood Type),B按钮（血型
🆑, CL Button,CL按钮
🆒, Cool Button,炫酷按钮
🆓, Free Button,免费按钮
ℹ ,Information,资讯
🆔, ID Button,ID按钮
Ⓜ ,Circled M,环形M
🆕, New Button,新按钮
🆖, NG Button,NG按钮
🅾 ,O Button (Blood Type),O型钮扣 (血型)
🆗, OK Button,確定按鈕
🅿 ,P Button,P 按钮
🆘, SOS Button,SOS按钮
🆙, Up! Button,Up! 按钮
🆚, Vs Button,与按钮
🈁, Japanese “Here” Button,日本的 这里 按钮
🈂 ,Japanese “Service Charge” Button,日本的 服务费 按钮
🈷 ,Japanese “Monthly Amount” Button,日本的 每月金额 按钮
🈶, Japanese “Not Free of Charge” Button,日本的 不免费 按钮
🈯, Japanese “Reserved” Button,日文 保留 按钮
🉐, Japanese “Bargain” Button,日本的 特价 按钮
🈹, Japanese “Discount” Button,日本的 折扣 按钮
🈚, Japanese “Free of Charge” Button,日本的 免费 按钮
🈲, Japanese “Prohibited” Button,日本的 禁止 按钮
🉑, Japanese “Acceptable” Button,日文 可接受 按钮
🈸, Japanese “Application” Button,日本的 申请 按钮
🈴, Japanese “Passing Grade” Button,日本的 合格 按钮
🈳, Japanese “Vacancy” Button,日本的 空缺 按钮
㊗ ,Japanese “Congratulations” Button,日本的 恭喜 按钮
㊙ ,Japanese “Secret” Button,日本的 秘密 按钮
🈺, Japanese “Open for Business” Button,日本的 营业 按钮
🈵, Japanese “No Vacancy” Button,日本的 无空缺 按钮
🔴, Red Circle,红圈
🟠, Orange Circle,橙色圈
🟡, Yellow Circle,黄圈
🟢, Green Circle,绿色圈
🔵, Blue Circle,蓝圈
🟣, Purple Circle,紫色圈
🟤, Brown Circle,棕圈
⚫, Black Circle,黑色圆环
⚪, White Circle,白色圆环
🟥, Red Square,红场
🟧, Orange Square,橙色广场
🟨, Yellow Square,黄方
🟩, Green Square,绿色广场
🟦, Blue Square,蓝方
🟪, Purple Square,紫色方块
🟫, Brown Square,布朗广场
⬛, Black Large Square,黑色大方块
⬜, White Large Square,白色大方块
◼ ,Black Medium Square,黑色中号方块
◻ ,White Medium Square,白色中方型
◾, Black Medium-Small Square,黑中小方块
◽, White Medium-Small Square,白色中小方块
▪ ,Black Small Square,黑色小方块
▫ ,White Small Square,白色小方块
🔶, Large Orange Diamond,橙色大钻石
🔷, Large Blue Diamond,大号蓝钻
🔸, Small Orange Diamond,橙色小钻石
🔹, Small Blue Diamond,小蓝钻
🔺, Red Triangle Pointed Up,红三角尖向上
🔻, Red Triangle Pointed Down,红三角尖向下
💠, Diamond with a Dot,鑽石與點
🔘, Radio Button,无线电按钮
🔳, White Square Button,白色方形纽扣
🔲, Black Square Button,黑色方形纽扣
