🙈, See-No-Evil Monkey,听不到邪恶的猴子
🥀, Wilted Flower,枯萎花
🌺, Hibiscus,芙蓉花
🌻, Sunflower,葵花
🌼, Blossom,鲜花
🌷, Tulip,郁金香
🌱, Seedling,苗木
🌲, Evergreen Tree,常青树
🌳, Deciduous Tree,落叶树
🌴, Palm Tree,棕榈树
🌵, Cactus,仙人掌
🌾, Sheaf of Rice,稻谷
🌿, Herb,草本
☘ ,Shamrock,锤石
🍀, Four Leaf Clover,四叶草
🍁, Maple Leaf,枫叶
🍂, Fallen Leaf,落叶
🍃, Leaf Fluttering in Wind,叶子在风中飞舞
🍄, Mushroom,菇类
🌰, Chestnut,栗木
🦀, Crab,螃蟹
🦞, Lobster,龙虾
🦐, Shrimp,虾
🦑, Squid,鱿鱼
🌍, Globe Showing Europe-Afr,全球显示欧洲-非洲ica
🌎, Globe Showing Americas,全球显示美洲
🌏, Globe Showing Asia-Austr,全球显示亚洲-澳大利亚alia
🌐, Globe with Meridians,经络地球仪
🌑, New Moon,新月
🌒, Waxing Crescent Moon,腊月
🌓, First Quarter Moon,第一季月亮
🌔, Waxing Gibbous Moon,腊八月
🌕, Full Moon,满月
🌖, Waning Gibbous Moon,弯弯的三角月
🌗, Last Quarter Moon,最后一刻月
🌘, Waning Crescent Moon,残月
🌙, Crescent Moon,新月
🌚, New Moon Face,新月脸
🌛, First Quarter Moon Face,第一季月亮脸
🌜, Last Quarter Moon Face,最后一个季度的月亮脸
☀️, Sun,阳光
🌝, Full Moon Face,满月脸
🌞, Sun with Face,太阳与脸
⭐, Star,星级
🌟, Glowing Star,萤光之星
🌠, Shooting Star,流星
☁️, Cloud,云计算
⛅, Sun Behind Cloud,云后的太阳
⛈, Cloud with Lightning and,闪电雨云 Rain
🌤, Sun Behind Small Cloud,小云背后的太阳
🌥, Sun Behind Large Cloud,大云背后的太阳
🌦, Sun Behind Rain Cloud,雨云背后的太阳
🌧, Cloud with Rain,云与雨
🌨, Cloud with Snow,云与雪
🌩, Cloud with Lightning,云与闪电
🌪, Tornado,龙卷风
🌫, Fog,雾
🌬, Wind Face,风面
🌈, Rainbow,彩虹
☂️, Umbrella,伞状物
☔, Umbrella with Rain Drops,雨滴伞
⚡, High Voltage,高电压
❄️, Snowflake,雪花
☃️, Snowman,雪人
⛄, Snowman Without Snow,没有雪的雪人
☄️, Comet,彗星
🔥, Fire,灭火
💧, Droplet,液滴
🌊, Water Wave,水波
🎄, Christmas Tree,圣诞树
✨, Sparkles,閃閃發光
🎋, Tanabata Tree,七夕树
🎍, Pine Decoration,松木装饰
