🏁, Chequered Flag,方格旗
🇬🇵, Flag: Guadeloupe,旗帜： 瓜德罗普岛
🇬🇶, Flag: Equatorial Guinea,旗帜：赤道几内亚
🇬🇷, Flag: Greece,旗帜： 希腊
🇬🇸, Flag: South Georgia & South Sandwich Islands,旗帜：南乔治亚岛和南桑威奇群岛
🇬🇹, Flag: Guatemala,旗帜： 危地马拉
🇬🇺, Flag: Guam,旗帜： 关岛
🇬🇼, Flag: Guinea-Bissau,旗帜： 几内亚比绍
🇬🇾, Flag: Guyana,旗帜： 圭亚那
🇭🇰, Flag: Hong Kong SAR China,旗帜：中国香港特别行政区
🇭🇲, Flag: Heard & McDonald Islands,旗帜：赫德和麦克唐纳群岛
🇭🇳, Flag: Honduras,旗帜：洪都拉斯
🇭🇷, Flag: Croatia,旗帜： 克罗地亚
🇭🇹, Flag: Haiti,旗帜：海地
🇭🇺, Flag: Hungary,旗帜：匈牙利
🇮🇨, Flag: Canary Islands,旗帜: 加那利群岛
🇮🇩, Flag: Indonesia,旗帜：印度尼西亚
🇮🇪, Flag: Ireland,旗帜：爱尔兰
🇮🇱, Flag: Israel,旗帜：以色列
🇮🇲, Flag: Isle of Man,旗帜：马恩岛
🇮🇳, Flag: India,旗帜：印度
🇮🇴, Flag: British Indian Ocean Territory,旗帜：英属印度洋领土
🇮🇶, Flag: Iraq,旗帜：伊拉克
🇮🇷, Flag: Iran,旗帜：伊朗
🇮🇸, Flag: Iceland,旗帜：冰岛
🇮🇹, Flag: Italy,旗帜：意大利
🇯🇪, Flag: Jersey,旗帜 泽西岛
🇯🇲, Flag: Jamaica,旗帜： 牙买加
🇯🇴, Flag: Jordan,旗帜： 约旦
🇯🇵, Flag: Japan,旗帜 日本
🇰🇪, Flag: Kenya,旗帜：肯尼亚
🇰🇬, Flag: Kyrgyzstan,旗帜：吉尔吉斯斯坦
🇰🇭, Flag: Cambodia,旗帜： 柬埔寨
🇰🇮, Flag: Kiribati,旗帜：基里巴斯
🇰🇲, Flag: Comoros,旗帜： 科摩罗
🇰🇳, Flag: St. Kitts & Nevis,旗帜：圣基茨和尼维斯
🇰🇵, Flag: North Korea,旗帜：北朝鲜
🇰🇷, Flag: South Korea,旗帜：南朝鲜
🇰🇼, Flag: Kuwait,旗帜：科威特
🇰🇾, Flag: Cayman Islands,旗帜: 开曼群岛
🇰🇿, Flag: Kazakhstan,旗帜：哈萨克斯坦
🇱🇦, Flag: Laos,旗帜 老挝
🇱🇧, Flag: Lebanon,旗帜： 黎巴嫩
🇱🇨, Flag: St. Lucia,旗帜：圣卢西亚
🇱🇮, Flag: Liechtenstein,旗帜： 列支敦士登
🇱🇰, Flag: Sri Lanka,旗帜：斯里兰卡
🇱🇷, Flag: Liberia,旗帜： 利比里亚
🇱🇸, Flag: Lesotho,旗帜： 莱索托
🇱🇹, Flag: Lithuania,旗帜： 立陶宛
🇱🇺, Flag: Luxembourg,旗帜： 卢森堡
🇱🇻, Flag: Latvia,旗帜： 拉脱维亚
🇱🇾, Flag: Libya,旗帜： 利比亚
🇲🇦, Flag: Morocco,旗帜： 摩洛哥
🇲🇨, Flag: Monaco,旗帜: 摩纳哥
🇲🇩, Flag: Moldova,旗帜： 摩尔多瓦
🇲🇪, Flag: Montenegro,旗帜： 黑山
🇲🇫, Flag: St. Martin,旗帜：圣马丁
🇲🇬, Flag: Madagascar,旗帜： 马达加斯加
🇲🇭, Flag: Marshall Islands,旗帜： 马绍尔群岛
🇲🇰, Flag: North Macedonia,旗帜：北马其顿
🇲🇱, Flag: Mali,旗帜： 马里
🇲🇲, Flag: Myanmar (Burma),旗帜： 缅甸（缅甸）
🇲🇳, Flag: Mongolia,旗。蒙古国
🇲🇴, Flag: Macao Sar China,旗帜。中国澳门特别行政区
🇲🇵, Flag: Northern Mariana Islands,旗帜：北马里亚纳群岛
🇲🇶, Flag: Martinique,旗帜： 马提尼克岛
🇲🇷, Flag: Mauritania,旗帜： 毛里塔尼亚
🇲🇸, Flag: Montserrat,旗帜： 蒙特塞拉特
🇲🇹, Flag: Malta,旗帜： 马耳他
🇲🇺, Flag: Mauritius,旗帜： 毛里求斯
🇲🇻, Flag: Maldives,旗帜 马尔代夫
🇲🇼, Flag: Malawi,旗帜： 马拉维
🇲🇽, Flag: Mexico,旗帜： 墨西哥
🇲🇾, Flag: Malaysia,旗帜 马来西亚
🇲🇿, Flag: Mozambique,旗帜： 莫桑比克
🇳🇦, Flag: Namibia,旗帜：纳米比亚
🇳🇨, Flag: New Caledonia,旗帜：新喀里多尼亚
🇳🇪, Flag: Niger,旗帜：尼日尔
🇳🇫, Flag: Norfolk Island,旗帜：诺福克岛
🇳🇬, Flag: Nigeria,旗帜：尼日利亚
🇳🇮, Flag: Nicaragua,旗帜：尼加拉瓜
🇳🇱, Flag: Netherlands,旗帜：荷兰
🇳🇴, Flag: Norway,旗帜：挪威
🇳🇵, Flag: Nepal,旗帜：尼泊尔
🇳🇷, Flag: Nauru,旗帜：瑙鲁
🇳🇺, Flag: Niue,旗帜：纽埃
🇳🇿, Flag: New Zealand,旗帜：新西兰
🇴🇲, Flag: Oman,旗帜： 阿曼
🇵🇦, Flag: Panama,旗帜： 巴拿马
🇵🇪, Flag: Peru,旗帜： 秘鲁
🇵🇫, Flag: French Polynesia,旗帜：法属波利尼西亚 法属波利尼西亚
🇵🇬, Flag: Papua New Guinea,旗帜：巴布亚新几内亚 巴布亚新几内亚
🇵🇭, Flag: Philippines,旗帜。菲律宾
🇵🇰, Flag: Pakistan,旗帜： 巴基斯坦
🇵🇱, Flag: Poland,旗帜： 波兰
🇵🇲, Flag: St. Pierre & Miquelon,旗帜：圣皮埃尔和密克隆旗帜
🇵🇳, Flag: Pitcairn Islands,旗帜： 皮特凯恩群岛
🇵🇷, Flag: Puerto Rico,旗帜： 波多黎各
🇵🇸, Flag: Palestinian Territories,旗帜： 巴勒斯坦领土
🇵🇹, Flag: Portugal,旗帜: 葡萄牙
🇵🇼, Flag: Palau,旗帜： 帕劳
🇵🇾, Flag: Paraguay,旗帜： 巴拉圭
🇶🇦, Flag: Qatar,旗帜： 卡塔尔
🇷🇪, Flag: Réunion,旗帜： 留尼旺
🇷🇴, Flag: Romania,旗帜： 罗马尼亚
🇷🇸, Flag: Serbia,旗帜：塞尔维亚
🇷🇺, Flag: Russia,旗帜 俄罗斯
🇷🇼, Flag: Rwanda,旗帜： 卢旺达
🇸🇦, Flag: Saudi Arabia,旗帜：沙特阿拉伯
🇸🇧, Flag: Solomon Islands,旗帜：所罗门群岛
🇸🇨, Flag: Seychelles,旗帜：塞舌尔
🇸🇩, Flag: Sudan,旗帜：苏丹
🇸🇪, Flag: Sweden,旗帜：瑞典
🇸🇬, Flag: Singapore,旗帜：新加坡
🇸🇭, Flag: St. Helena,旗帜：圣赫勒拿岛
🇸🇮, Flag: Slovenia,旗帜：斯洛文尼亚
🇸🇯, Flag: Svalbard & Jan Mayen,旗帜：斯瓦巴德和扬-马延。
🇸🇰, Flag: Slovakia,旗帜：斯洛伐克
🇸🇱, Flag: Sierra Leone,国旗：塞拉利昂
🇸🇲, Flag: San Marino,旗帜：圣马力诺
🇸🇳, Flag: Senegal,旗帜：塞内加尔
🇸🇴, Flag: Somalia,旗帜：索马里
🇸🇷, Flag: Suriname,旗帜：苏里南
🇸🇸, Flag: South Sudan,旗帜：南苏丹
🇸🇹, Flag: São Tomé & Príncipe,旗帜：圣多美和普林西比。
🇸🇻, Flag: El Salvador,旗帜：萨尔瓦多
🇸🇽, Flag: Sint Maarten,旗帜：圣马丁岛
🇸🇾, Flag: Syria,旗帜：叙利亚
🇸🇿, Flag: Eswatini,旗帜：Eswatini
🇹🇦, Flag: Tristan Da Cunha,旗帜：Tristan Da Cunha
🇹🇨, Flag: Turks & Caicos Islands,旗帜：特克斯和凯科斯群岛
🇹🇩, Flag: Chad,旗帜。Chad
🇹🇫, Flag: French Southern Territories,旗帜： 法属南部领土
🇹🇬, Flag: Togo,国旗：多哥
🇹🇭, Flag: Thailand,旗帜：泰国
🇹🇯, Flag: Tajikistan,旗帜：塔吉克斯坦
🇹🇰, Flag: Tokelau,旗帜：托克劳
🇹🇱, Flag: Timor-Leste,国旗：东帝汶
🇹🇲, Flag: Turkmenistan,旗帜：土库曼斯坦
🇹🇳, Flag: Tunisia,旗帜：突尼斯
🇹🇴, Flag: Tonga,旗帜：汤加
🇹🇷, Flag: Turkey,旗帜：土耳其
🇹🇹, Flag: Trinidad & Tobago,旗帜：特立尼达和多巴哥
🇹🇻, Flag: Tuvalu,旗帜：图瓦卢
🇹🇿, Flag: Tanzania,旗帜：坦桑尼亚
🇺🇦, Flag: Ukraine,旗帜： 乌克兰
🇺🇬, Flag: Uganda,旗帜： 乌干达
🇺🇲, Flag: U.S. Outlying Islands,旗帜。美国离岛
🇺🇳, Flag: United Nations,旗帜。联合国
🇺🇸, Flag: United States,旗帜： 美国
🇺🇾, Flag: Uruguay,旗帜： 乌拉圭
🇺🇿, Flag: Uzbekistan,旗帜： 乌兹别克斯坦
🇻🇦, Flag: Vatican City,旗帜。梵蒂冈城
🇻🇨, Flag: St. Vincent & Grenadines,旗帜：圣文森特和格林纳丁斯
🇻🇪, Flag: Venezuela,旗帜： 委内瑞拉
🇻🇬, Flag: British Virgin Islands,旗帜：英属维尔京群岛
🇻🇮, Flag: U.S. Virgin Islands,旗帜： 美属维尔京群岛
🇻🇳, Flag: Vietnam,旗帜 越南
🇻🇺, Flag: Vanuatu,旗帜： 瓦努阿图
🇼🇫, Flag: Wallis & Futuna,旗帜：Wallis和Futuna 瓦利斯和富图纳
🇼🇸, Flag: Samoa,旗帜：萨摩亚
🇽🇰, Flag: Kosovo,旗帜：科索沃
🇾🇪, Flag: Yemen,旗帜：也门
🇾🇹, Flag: Mayotte,旗帜 马约特岛
🇿🇦, Flag: South Africa,旗帜：南非
🇿🇲, Flag: Zambia,旗帜： 赞比亚
🇿🇼, Flag: Zimbabwe,旗帜： 津巴布韦
🏴󠁧󠁢󠁥󠁮󠁧󠁿, Flag: England,旗帜：英国
🏴󠁧󠁢󠁳󠁣󠁴󠁿, Flag: Scotland,旗帜：苏格兰
🏴󠁧󠁢󠁷󠁬󠁳󠁿, Flag: Wales,旗帜： 威尔士
🏴󠁵󠁳󠁴󠁸󠁿, Flag for Texas (US-TX),德州旗（US-TX）
